,collection,brand,item,price_without_discount,discount,clean_price,maltiply
1449,,La DoubleJ,Jennifer Jane floral-print tiered dress,819.0,15.0,696.0,0.85
1450,,MSGM,bow-front midi dress,437.0,30.0,306.0,0.7
1451,Conscious,Rosie Assoulin,sweetheart-neck knitted midi dress,1470.0,30.0,1029.0,0.7
1452,,Self-Portrait,lace V-neck dress,498.0,40.0,299.0,0.6
1453,,La DoubleJ,Sorella lily-print dress,764.0,0.0,764.0,1.0
1454,,Fabiana Filippi,gathered-detail sleeveless dress,919.0,0.0,919.0,1.0
1455,,IRO,Aurora ribbed-knit asymmetrical dress,327.0,25.0,245.0,0.75
1456,New Season,Alexander Wang,cut-out shirt dress,347.0,0.0,347.0,1.0
1457,,CHOCOOLATE,contrast-stitch dungaree skirt,134.0,30.0,94.0,0.7
1458,,LIU JO,logo-print long dress,121.0,20.0,97.0,0.8
1459,New Season,Tadashi Shoji,strapless panelled midi dress,394.0,0.0,394.0,1.0
1460,,Bottega Veneta,asymmetric knitted dress,1418.0,0.0,1418.0,1.0
